Brand,Model,Price,Currency,Year,Engine Size,Horsepower,Fuel Type,Distance,Color,Body Type,ProdYear,Transmission,Drive Type,New,Seats,Owners,Condition,Market,City
Kia,K5,46900,AZN,2025,1.5 L,170,Benzin,0 km,Qara,Sedan,2025,Robot,Ön,Bəli,,,"Vuruğu yoxdur, rənglənməyib",Rəsmi diler,Bakı
UAZ,Profi,43500,AZN,2023,2.7 L,150,Benzin,0 km,Ağ,"Pikap, ikiqat kabin",2023,Mexaniki,Tam,Bəli,5,,"Vuruğu yoxdur, rənglənməyib",,Bakı
Changan,Uni-V iDD,17500,USD,2025,1.5 L,325,Plug-in Hibrid,0 km,Yaş Asfalt,Liftbek,2025,Variator,Ön,Bəli,4,,"Vuruğu yoxdur, rənglənməyib",Çin,Bakı
Ford,Fusion (North America),19700,AZN,2016,1.5 L,181,Benzin,175 000 km,Boz,Sedan,2016,Avtomat,Ön,Xeyr,5,0,"Vuruğu yoxdur, rənglənməyib",Amerika,Bakı
Changan,Uni-Z,34000,AZN,2025,1.5 L,215,Plug-in Hibrid,3 293 km,Açıq yaşıl,"Offroader / SUV, 5 qapı",2025,Variator,Ön,Xeyr,5,0,"Vuruğu yoxdur, rənglənməyib",Çin,Bakı
Lexus,ES 300h,48900,USD,2024,2.5 L,215,Hibrid,12 000 km,Qara,Sedan,2024,Variator,Ön,Xeyr,5,1,"Vuruğu yoxdur, rənglənməyib",Avropa,Bakı
Kia,Sorento,39500,AZN,2019,2.0 L,184,Dizel,163 412 km,Yaş Asfalt,"Offroader / SUV, 5 qapı",2019,Avtomat,Ön,Xeyr,5,1,"Vuruğu yoxdur, rənglənməyib",Koreya,Bakı
Mercedes,Vito,49000,AZN,2017,2.2 L,163,Dizel,250 000 km,Ağ,Minivan,2017,Avtomat,Arxa,Xeyr,8+,1,"Vuruğu yoxdur, rənglənməyib",Avropa,Bakı
Ford,Fusion (North America),19500,AZN,2019,1.5 L,184,Benzin,163 000 km,Göy,Sedan,2019,Avtomat,Ön,Xeyr,5,0,"Vuruğu yoxdur, rənglənməyib",Amerika,Bakı
Toyota,Camry,23500,USD,2018,2.5 L,181,Benzin,120 000 km,Gümüşü,Sedan,2018,Avtomat,Ön,Xeyr,5,0,"Vuruğu yoxdur, rənglənməyib",Rəsmi diler,Gəncə
BMW,525,20500,USD,2007,2.5 L,218,Benzin,58 530 km,Ağ,Sedan,2007,Avtomat,Arxa,Xeyr,5,1,"Vuruğu yoxdur, rənglənməyib",Yaponiya,Bakı
Mercedes,GLE 43 AMG 4MATIC Coupe,78000,AZN,2018,3.0 L,390,Benzin,77 000 km,Yaş Asfalt,SUV Kupe,2018,Avtomat,Tam,Xeyr,,1,"Vuruğu yoxdur, rənglənməyib",Rəsmi diler,Bakı
Audi,S5,23000,AZN,2010,4.2 L,380,Benzin,160 000 km,Yaşıl,Kupe,2010,Avtomat,Tam,Xeyr,4,,"Vuruğu yoxdur, rənglənib",Avropa,Bakı
Fiat,Doblo,13200,AZN,2006,1.3 L,85,Dizel,188 000 km,Ağ,Kompakt-Van,2006,Mexaniki,Ön,Xeyr,5,,"Vuruğu yoxdur, rənglənməyib",Avropa,Bakı
BMW,i5,57500,USD,2025,340 a.g. / Elektro,340 a.g. / Elektro,340 a.g. / Elektro,0 km,Yaş Asfalt,Sedan,2025,Reduktor,Arxa,Bəli,5,,"Vuruğu yoxdur, rənglənməyib",Çin,Bakı
Ford,Mustang,33000,AZN,2016,2.3 L,310,Benzin,130 000 km,Narıncı,Kupe,2016,Avtomat,Arxa,Xeyr,4,,"Vuruğu yoxdur, rənglənməyib",Amerika,Bakı
Kia,Stinger,21500,USD,2018,2.0 L,247,Benzin,71 000 km,Qara,Liftbek,2018,Avtomat,Arxa,Xeyr,4,2,"Vuruğu yoxdur, rənglənməyib",Digər,Bakı
Isuzu,NPR 75 K,71000,AZN,2023,5.2 L,177,Dizel,19 000 km,Ağ,Yük maşını,2023,Mexaniki,Tam,Xeyr,3,1,"Vuruğu yoxdur, rənglənməyib",Rəsmi diler,Bakı
Chevrolet,Cruze,13100,AZN,2014,1.4 L,141,Benzin,224 000 km,Gümüşü,Sedan,2014,Avtomat,Ön,Xeyr,5,,"Vuruğu yoxdur, rənglənməyib",Amerika,Bakı
Volvo,C40,45882,EUR,2023,408 a.g. / Elektro,408 a.g. / Elektro,408 a.g. / Elektro,0 km,Qara,"Offroader / SUV, 5 qapı",2023,Reduktor,Tam,Bəli,,,"Vuruğu yoxdur, rənglənməyib",Avropa,Bakı
Volvo,C40,45882,EUR,2023,408 a.g. / Elektro,408 a.g. / Elektro,408 a.g. / Elektro,0 km,Ağ,"Offroader / SUV, 5 qapı",2023,Reduktor,Tam,Bəli,4,,"Vuruğu yoxdur, rənglənməyib",Avropa,Bakı
Hyundai,Grandeur,83900,AZN,2025,1.6 L,230,Hibrid,0 km,Yaş Asfalt,Sedan,2025,Avtomat,Ön,Bəli,5,,"Vuruğu yoxdur, rənglənməyib",Rəsmi diler,Bakı
Mercedes,E 53 AMG 4MATIC,54000,USD,2019,3.0 L,435,Benzin,50 000 km,Qara,Sedan,2019,Avtomat,Tam,Xeyr,5,0,"Vuruğu yoxdur, rənglənməyib",Amerika,Bakı
Hyundai,Elantra,17000,AZN,2013,1.8 L,150,Benzin,146 450 km,Göy,Sedan,2013,Avtomat,Ön,Xeyr,,,"Vuruğu yoxdur, rənglənməyib",Amerika,Bakı
Voyah,Free,35900,USD,2025,1.5 L,490,Plug-in Hibrid,0 km,Yaş Asfalt,"Offroader / SUV, 5 qapı",2025,Reduktor,Tam,Bəli,5,,"Vuruğu yoxdur, rənglənməyib",,Bakı
Toyota,Corolla Fielder,19000,AZN,2014,1.5 L,74,Hibrid,120 000 km,Ağ,"Universal, 5 qapı",2014,Variator,Ön,Xeyr,5,,"Vuruğu yoxdur, rənglənməyib",Yaponiya,Bakı
Toyota,Prius,12500,AZN,2007,1.5 L,76,Hibrid,400 000 km,Tünd qırmızı,Liftbek,2007,Variator,Ön,Xeyr,5,,"Vuruğu yoxdur, rənglənməyib",Amerika,Bakı
Hyundai,Elantra,16000,AZN,2012,1.6 L,132,Benzin,265 165 km,Ağ,Sedan,2012,Avtomat,Ön,Xeyr,5,2,"Vuruğu yoxdur, rənglənməyib",Rəsmi diler,Bakı
Voyah,Free,35900,USD,2025,1.5 L,490,Plug-in Hibrid,0 km,Açıq yaşıl,"Offroader / SUV, 5 qapı",2025,Reduktor,Tam,Bəli,5,,"Vuruğu yoxdur, rənglənməyib",Rəsmi diler,Bakı
Voyah,Free,38000,USD,2025,1.5 L,490,Plug-in Hibrid,0 km,Yaşıl,"Offroader / SUV, 5 qapı",2025,Reduktor,Tam,Bəli,5,,"Vuruğu yoxdur, rənglənməyib",Rəsmi diler,Bakı
Hyundai,Veloster,13600,AZN,2012,1.6 L,138,Benzin,180 000 km,Qəhvəyi,"Hetçbek, 4 qapı",2012,Avtomat,Ön,Xeyr,4,2,"Vuruğu yoxdur, rənglənməyib",Avropa,Bakı
Voyah,Free,46900,USD,2025,490 a.g. / Elektro,490 a.g. / Elektro,490 a.g. / Elektro,0 km,Mavi,"Offroader / SUV, 5 qapı",2025,Reduktor,Tam,Bəli,5,,"Vuruğu yoxdur, rənglənməyib",Rəsmi diler,Bakı
KamAz,55111,18700,AZN,1985,11 L,191,Dizel,100 000 km,Yaş Asfalt,Yük maşını,1985,Mexaniki,Arxa,Xeyr,3,,"Vuruğu yoxdur, rənglənməyib",,Gəncə
Lexus,LX 570,25500,USD,2010,5.7 L,383,Benzin,260 000 km,Qara,"Offroader / SUV, 5 qapı",2010,Avtomat,Tam,Xeyr,7,0,"Vuruğu yoxdur, rənglənməyib",,Bakı
Toyota,Land Cruiser Prado,32500,AZN,2008,4.0 L,249,Benzin,285 000 km,Ağ,"Offroader / SUV, 5 qapı",2008,Avtomat,Tam,Xeyr,7,,"Vuruğu yoxdur, rənglənməyib",Dubay,Sumqayıt
Voyah,Free,38000,USD,2025,1.5 L,490,Plug-in Hibrid,0 km,Qara,"Offroader / SUV, 5 qapı",2025,Reduktor,Tam,Bəli,5,,"Vuruğu yoxdur, rənglənməyib",Avropa,Bakı
BYD,Sea Lion 05,19350,USD,2024,1.5 L,260,Plug-in Hibrid,0 km,Ağ,"Offroader / SUV, 5 qapı",2024,Variator,Ön,Bəli,5,,"Vuruğu yoxdur, rənglənməyib",,Bakı
Toyota,Camry,28500,AZN,2013,2.5 L,181,Benzin,213 000 km,Ağ,Sedan,2013,Avtomat,Ön,Xeyr,5,,"Vuruğu yoxdur, rənglənib",Avropa,Bakı
Nissan,Note,15500,AZN,2016,1.2 L,98,Benzin,28 000 km,Qırmızı,"Hetçbek, 5 qapı",2016,Variator,Ön,Xeyr,5,1,"Vuruğu yoxdur, rənglənməyib",,Bakı
Kia,K3,29700,AZN,2023,1.6 L,204,Benzin,58 000 km,Ağ,Sedan,2023,Avtomat,Ön,Xeyr,5,1,"Vuruğu yoxdur, rənglənməyib",Amerika,Bakı
GAC,Aion S Max,39900,AZN,2024,204 a.g. / Elektro,204 a.g. / Elektro,204 a.g. / Elektro,9 500 km,Ağ,Sedan,2024,Reduktor,Ön,Xeyr,5,1,"Vuruğu yoxdur, rənglənməyib",Rəsmi diler,Bakı
Kia,Rio,21300,AZN,2018,1.6 L,123,Benzin,29 300 km,Ağ,Sedan,2018,Avtomat,Ön,Xeyr,5,0,"Vuruğu yoxdur, rənglənib",Amerika,Bakı
Chevrolet,Aveo,13100,AZN,2013,1.6 L,115,Benzin,220 180 km,Ağ,Sedan,2013,Avtomat,Ön,Xeyr,5,0,"Vuruğu yoxdur, rənglənməyib",Rəsmi diler,Bakı
Hyundai,Elantra,28800,AZN,2021,1.6 L,132,Hibrid,201 168 km,Göy,Sedan,2021,Avtomat,Ön,Xeyr,,,"Vuruğu yoxdur, rənglənməyib",,Bakı
LADA,(VAZ) Granta,15900,AZN,2021,1.6 L,98,Benzin,95 000 km,Yaş Asfalt,Sedan,2021,Avtomat,Ön,Xeyr,5,,"Vuruğu yoxdur, rənglənməyib",Rusiya,Bakı
Mercedes,E 240,13800,AZN,2000,2.4 L,170,Benzin,377 000 km,Göy,Sedan,2000,Avtomat,Arxa,Xeyr,5,0,"Vuruğu yoxdur, rənglənməyib",Avropa,Bakı
Hyundai,Elantra,17400,AZN,2011,1.8 L,150,Benzin,171 490 km,Ağ,Sedan,2011,Avtomat,Ön,Xeyr,5,,"Vuruğu yoxdur, rənglənməyib",Avropa,Bakı
Ford,Fusion (North America),23300,AZN,2019,1.5 L,184,Benzin,135 000 km,Yaş Asfalt,Sedan,2019,Avtomat,Ön,Xeyr,4,0,"Vuruğu yoxdur, rənglənməyib",Amerika,Sabirabad
Mercedes,E 53 AMG 4MATIC,54000,USD,2019,3.0 L,435,Benzin,50 000 km,Qara,Sedan,2019,Avtomat,Tam,Xeyr,5,0,"Vuruğu yoxdur, rənglənməyib",Amerika,Bakı
Hyundai,Elantra,17000,AZN,2013,1.8 L,150,Benzin,146 450 km,Göy,Sedan,2013,Avtomat,Ön,Xeyr,,,"Vuruğu yoxdur, rənglənməyib",Amerika,Bakı
Voyah,Free,35900,USD,2025,1.5 L,490,Plug-in Hibrid,0 km,Yaş Asfalt,"Offroader / SUV, 5 qapı",2025,Reduktor,Tam,Bəli,5,,"Vuruğu yoxdur, rənglənməyib",,Bakı
Toyota,Corolla Fielder,19000,AZN,2014,1.5 L,74,Hibrid,120 000 km,Ağ,"Universal, 5 qapı",2014,Variator,Ön,Xeyr,5,,"Vuruğu yoxdur, rənglənməyib",Yaponiya,Bakı
Toyota,Prius,12500,AZN,2007,1.5 L,76,Hibrid,400 000 km,Tünd qırmızı,Liftbek,2007,Variator,Ön,Xeyr,5,,"Vuruğu yoxdur, rənglənməyib",Amerika,Bakı
Hyundai,Elantra,16000,AZN,2012,1.6 L,132,Benzin,265 165 km,Ağ,Sedan,2012,Avtomat,Ön,Xeyr,5,2,"Vuruğu yoxdur, rənglənməyib",Rəsmi diler,Bakı
Voyah,Free,35900,USD,2025,1.5 L,490,Plug-in Hibrid,0 km,Açıq yaşıl,"Offroader / SUV, 5 qapı",2025,Reduktor,Tam,Bəli,5,,"Vuruğu yoxdur, rənglənməyib",Rəsmi diler,Bakı
Voyah,Free,38000,USD,2025,1.5 L,490,Plug-in Hibrid,0 km,Yaşıl,"Offroader / SUV, 5 qapı",2025,Reduktor,Tam,Bəli,5,,"Vuruğu yoxdur, rənglənməyib",Rəsmi diler,Bakı
Hyundai,Veloster,13600,AZN,2012,1.6 L,138,Benzin,180 000 km,Qəhvəyi,"Hetçbek, 4 qapı",2012,Avtomat,Ön,Xeyr,4,2,"Vuruğu yoxdur, rənglənməyib",Avropa,Bakı
Voyah,Free,46900,USD,2025,490 a.g. / Elektro,490 a.g. / Elektro,490 a.g. / Elektro,0 km,Mavi,"Offroader / SUV, 5 qapı",2025,Reduktor,Tam,Bəli,5,,"Vuruğu yoxdur, rənglənməyib",Rəsmi diler,Bakı
KamAz,55111,18700,AZN,1985,11 L,191,Dizel,100 000 km,Yaş Asfalt,Yük maşını,1985,Mexaniki,Arxa,Xeyr,3,,"Vuruğu yoxdur, rənglənməyib",,Gəncə
Lexus,LX 570,25500,USD,2010,5.7 L,383,Benzin,260 000 km,Qara,"Offroader / SUV, 5 qapı",2010,Avtomat,Tam,Xeyr,7,0,"Vuruğu yoxdur, rənglənməyib",,Bakı
Toyota,Land Cruiser Prado,32500,AZN,2008,4.0 L,249,Benzin,285 000 km,Ağ,"Offroader / SUV, 5 qapı",2008,Avtomat,Tam,Xeyr,7,,"Vuruğu yoxdur, rənglənməyib",Dubay,Sumqayıt
Voyah,Free,38000,USD,2025,1.5 L,490,Plug-in Hibrid,0 km,Qara,"Offroader / SUV, 5 qapı",2025,Reduktor,Tam,Bəli,5,,"Vuruğu yoxdur, rənglənməyib",Avropa,Bakı
LADA,(VAZ) 2107,3300,AZN,1998,1.6 L,75,Benzin,58 005 km,Ağ,Sedan,1998,Mexaniki,Arxa,Xeyr,,,"Vuruğu yoxdur, rənglənməyib",Rusiya,Bakı
Toyota,bZ3X,27990,USD,2025,224 a.g. / Elektro,224 a.g. / Elektro,224 a.g. / Elektro,0 km,Ağ,"Offroader / SUV, 5 qapı",2025,Reduktor,Ön,Bəli,5,,"Vuruğu yoxdur, rənglənməyib",Çin,Bakı
Changan,CS 55 Plus,18700,USD,2025,1.5 L,313,Plug-in Hibrid,0 km,Ağ,"Offroader / SUV, 5 qapı",2025,Variator,Ön,Bəli,5,0,"Vuruğu yoxdur, rənglənməyib",Çin,Bakı
Changan,CS 55 Plus,18900,USD,2025,1.5 L,313,Plug-in Hibrid,0 km,Yaş Asfalt,"Offroader / SUV, 5 qapı",2025,Variator,Ön,Bəli,5,0,"Vuruğu yoxdur, rənglənməyib",Çin,Bakı
Kia,Rio,8300,AZN,2008,1.5 L,110,Dizel,361 301 km,Ağ,"Hetçbek, 5 qapı",2008,Mexaniki,Ön,Xeyr,5,,"Vuruğu yoxdur, rənglənməyib",Çin,Bakı
Mercedes,E 220 d,14200,AZN,2000,2.2 L,143,Dizel,358 002 km,Göy,Sedan,2000,Avtomat,Arxa,Xeyr,5,,"Vuruğu yoxdur, rənglənməyib",,Bakı
Mercedes,208 D,13700,AZN,1992,2.3 L,85,Dizel,400 000 km,Ağ,Mikroavtobus,1992,Mexaniki,Arxa,Xeyr,,,"Vuruğu yoxdur, rənglənib",,Şirvan
Chevrolet,Captiva,32500,AZN,2022,1.5 L,147,Benzin,15 600 km,Boz,"Offroader / SUV, 5 qapı",2022,Variator,Ön,Xeyr,7,,"Vuruğu yoxdur, rənglənməyib",Dubay,Bakı
Opel,Vectra,6200,AZN,2000,2.0 L,136,Benzin,485 000 km,Ağ,Sedan,2000,Avtomat,Ön,Xeyr,5,,"Vuruğu yoxdur, rənglənməyib",Avropa,Bakı
Chevrolet,Orlando,14800,AZN,2012,1.8 L,141,Benzin,274 000 km,Ağ,Kompakt-Van,2012,Mexaniki,Ön,Xeyr,7,0,"Vuruğu yoxdur, rənglənib",Digər,Bakı
Bentley,Mulsanne,149000,USD,2013,6.5 L,513,Benzin,36 500 km,Qara,Sedan,2013,Avtomat,Arxa,Xeyr,,,"Vuruğu yoxdur, rənglənməyib",Rəsmi diler,Bakı
Toyota,Frontlander,23300,USD,2025,2.0 L,197,Hibrid,0 km,Gümüşü,"Offroader / SUV, 5 qapı",2025,Variator,Ön,Bəli,5,,"Vuruğu yoxdur, rənglənməyib",Çin,Bakı
Nissan,Note,16100,AZN,2019,1.2 L,98,Benzin,59 000 km,Ağ,"Hetçbek, 5 qapı",2019,Variator,Ön,Xeyr,5,1,"Vuruğu yoxdur, rənglənməyib",,Bakı
Toyota,Corolla Cross,18300,USD,2024,2.0 L,197,Hibrid,0 km,Qara,"Offroader / SUV, 5 qapı",2024,Variator,Ön,Bəli,5,,"Vuruğu yoxdur, rənglənməyib",Çin,Bakı
Hyundai,Santa Fe,30900,AZN,2013,2.0 L,224,Dizel,184 000 km,Ağ,"Offroader / SUV, 5 qapı",2013,Avtomat,Ön,Xeyr,5,0,"Vuruğu yoxdur, rənglənməyib",,Bakı
Land,Rover Defender,99999,USD,2021,3.0 L,400,Benzin,98 900 km,Qara,"Offroader / SUV, 5 qapı",2021,Avtomat,Tam,Xeyr,5,1,"Vuruğu yoxdur, rənglənməyib",Rəsmi diler,Bakı
Mercedes,C 240,10200,AZN,2000,2.6 L,170,Benzin,328 765 km,Gümüşü,Sedan,2000,Avtomat,Arxa,Xeyr,5,,"Vuruğu yoxdur, rənglənməyib",,Sumqayıt
Hyundai,Santa Fe,34800,AZN,2015,2.0 L,184,Dizel,149 000 km,Qara,"Offroader / SUV, 5 qapı",2015,Avtomat,Ön,Xeyr,5,1,"Vuruğu yoxdur, rənglənməyib",Koreya,Bakı
Land,Rover Range Rover,27000,USD,2012,5.0 L,510,Benzin,165 000 km,Qara,"Offroader / SUV, 5 qapı",2012,Avtomat,Tam,Xeyr,5,,"Vuruğu yoxdur, rənglənməyib",Rəsmi diler,Bakı
BMW,528,23800,AZN,2013,2.0 L,245,Benzin,283 000 km,Qara,Sedan,2013,Avtomat,Arxa,Xeyr,5,,"Vuruğu yoxdur, rənglənməyib",Amerika,Bakı
Toyota,Land Cruiser Prado,39500,AZN,2012,2.7 L,163,Benzin,158 500 km,Ağ,"Offroader / SUV, 5 qapı",2012,Avtomat,Tam,Xeyr,7,2,"Vuruğu yoxdur, rənglənməyib",Dubay,Bakı
Baic,X55 II,34500,AZN,2023,1.5 L,188,Benzin,8 020 km,Boz,"Offroader / SUV, 5 qapı",2023,Robot,Ön,Xeyr,5,1,"Vuruğu yoxdur, rənglənməyib",Çin,Bakı
Voyah,Free,35900,USD,2025,1.5 L,490,Plug-in Hibrid,0 km,Açıq yaşıl,"Offroader / SUV, 5 qapı",2025,Reduktor,Tam,Bəli,5,,"Vuruğu yoxdur, rənglənməyib",Rəsmi diler,Bakı
Voyah,Free,38000,USD,2025,1.5 L,490,Plug-in Hibrid,0 km,Yaşıl,"Offroader / SUV, 5 qapı",2025,Reduktor,Tam,Bəli,5,,"Vuruğu yoxdur, rənglənməyib",Rəsmi diler,Bakı
Hyundai,Veloster,13600,AZN,2012,1.6 L,138,Benzin,180 000 km,Qəhvəyi,"Hetçbek, 4 qapı",2012,Avtomat,Ön,Xeyr,4,2,"Vuruğu yoxdur, rənglənməyib",Avropa,Bakı
Voyah,Free,46900,USD,2025,490 a.g. / Elektro,490 a.g. / Elektro,490 a.g. / Elektro,0 km,Mavi,"Offroader / SUV, 5 qapı",2025,Reduktor,Tam,Bəli,5,,"Vuruğu yoxdur, rənglənməyib",Rəsmi diler,Bakı
KamAz,55111,18700,AZN,1985,11 L,191,Dizel,100 000 km,Yaş Asfalt,Yük maşını,1985,Mexaniki,Arxa,Xeyr,3,,"Vuruğu yoxdur, rənglənməyib",,Gəncə
Lexus,LX 570,25500,USD,2010,5.7 L,383,Benzin,260 000 km,Qara,"Offroader / SUV, 5 qapı",2010,Avtomat,Tam,Xeyr,7,0,"Vuruğu yoxdur, rənglənməyib",,Bakı
Toyota,Land Cruiser Prado,32500,AZN,2008,4.0 L,249,Benzin,285 000 km,Ağ,"Offroader / SUV, 5 qapı",2008,Avtomat,Tam,Xeyr,7,,"Vuruğu yoxdur, rənglənməyib",Dubay,Sumqayıt
Voyah,Free,38000,USD,2025,1.5 L,490,Plug-in Hibrid,0 km,Qara,"Offroader / SUV, 5 qapı",2025,Reduktor,Tam,Bəli,5,,"Vuruğu yoxdur, rənglənməyib",Avropa,Bakı
LADA,(VAZ) 2107,3300,AZN,1998,1.6 L,75,Benzin,58 005 km,Ağ,Sedan,1998,Mexaniki,Arxa,Xeyr,,,"Vuruğu yoxdur, rənglənməyib",Rusiya,Bakı
Toyota,bZ3X,27990,USD,2025,224 a.g. / Elektro,224 a.g. / Elektro,224 a.g. / Elektro,0 km,Ağ,"Offroader / SUV, 5 qapı",2025,Reduktor,Ön,Bəli,5,,"Vuruğu yoxdur, rənglənməyib",Çin,Bakı
Changan,CS 55 Plus,18700,USD,2025,1.5 L,313,Plug-in Hibrid,0 km,Ağ,"Offroader / SUV, 5 qapı",2025,Variator,Ön,Bəli,5,0,"Vuruğu yoxdur, rənglənməyib",Çin,Bakı
Changan,CS 55 Plus,18900,USD,2025,1.5 L,313,Plug-in Hibrid,0 km,Yaş Asfalt,"Offroader / SUV, 5 qapı",2025,Variator,Ön,Bəli,5,0,"Vuruğu yoxdur, rənglənməyib",Çin,Bakı
Kia,Rio,8300,AZN,2008,1.5 L,110,Dizel,361 301 km,Ağ,"Hetçbek, 5 qapı",2008,Mexaniki,Ön,Xeyr,5,,"Vuruğu yoxdur, rənglənməyib",Çin,Bakı
Mercedes,E 220 d,14200,AZN,2000,2.2 L,143,Dizel,358 002 km,Göy,Sedan,2000,Avtomat,Arxa,Xeyr,5,,"Vuruğu yoxdur, rənglənməyib",,Bakı
Mercedes,208 D,13700,AZN,1992,2.3 L,85,Dizel,400 000 km,Ağ,Mikroavtobus,1992,Mexaniki,Arxa,Xeyr,,,"Vuruğu yoxdur, rənglənib",,Şirvan
Chevrolet,Captiva,32500,AZN,2022,1.5 L,147,Benzin,15 600 km,Boz,"Offroader / SUV, 5 qapı",2022,Variator,Ön,Xeyr,7,,"Vuruğu yoxdur, rənglənməyib",Dubay,Bakı
Opel,Vectra,6200,AZN,2000,2.0 L,136,Benzin,485 000 km,Ağ,Sedan,2000,Avtomat,Ön,Xeyr,5,,"Vuruğu yoxdur, rənglənməyib",Avropa,Bakı
Chevrolet,Orlando,14800,AZN,2012,1.8 L,141,Benzin,274 000 km,Ağ,Kompakt-Van,2012,Mexaniki,Ön,Xeyr,7,0,"Vuruğu yoxdur, rənglənib",Digər,Bakı
Chevrolet,Malibu,19500,AZN,2017,1.5 L,160,Benzin,143 500 km,Ağ,Sedan,2017,Avtomat,Ön,Xeyr,5,,"Vuruğu yoxdur, rənglənib",Amerika,Bakı
Chevrolet,Cruze,12040,AZN,2014,1.4 L,141,Benzin,250 000 km,Göy,Sedan,2014,Avtomat,Ön,Xeyr,5,0,"Vuruğu var, rənglənməyib",Amerika,Bakı
JETOUR,X70,29200,AZN,2022,1.5 L,147,Benzin,27 000 km,Ağ,"Offroader / SUV, 5 qapı",2022,Robot,Ön,Xeyr,7,,"Vuruğu yoxdur, rənglənib",Rəsmi diler,Bakı
Polestar,2,21800,USD,2023,476 a.g. / Elektro,476 a.g. / Elektro,476 a.g. / Elektro,4 800 km,Qara,Liftbek,2023,Reduktor,Tam,Xeyr,5,0,"Vuruğu yoxdur, rənglənməyib",Amerika,Bakı
Kia,Sorento,30900,AZN,2013,2.0 L,184,Dizel,231 000 km,Ağ,"Offroader / SUV, 5 qapı",2013,Avtomat,Ön,Xeyr,7,,"Vuruğu yoxdur, rənglənməyib",Koreya,Bakı
Mercedes,S 400,34400,USD,2013,3.0 L,333,Benzin,214 000 km,Qara,Sedan,2013,Avtomat,Arxa,Xeyr,5,2,"Vuruğu yoxdur, rənglənməyib",Avropa,Bakı
BMW,M5,75000,USD,2019,4.4 L,625,Benzin,80 000 km,Göy,Sedan,2019,Avtomat,Tam,Xeyr,5,,"Vuruğu yoxdur, rənglənməyib",Rəsmi diler,Bakı
Toyota,Corolla Cross,35990,AZN,2025,2.0 L,197,Hibrid,0 km,Ağ,"Offroader / SUV, 5 qapı",2025,Variator,Ön,Bəli,5,0,"Vuruğu yoxdur, rənglənməyib",Çin,Bakı
Lexus,LX 570,40000,USD,2012,5.7 L,383,Benzin,161 000 km,Ağ,"Offroader / SUV, 5 qapı",2012,Avtomat,Tam,Xeyr,7,1,"Vuruğu yoxdur, rənglənməyib",Rəsmi diler,Bakı
Toyota,Frontlander,40500,AZN,2025,2.0 L,196,Hibrid,0 km,Ağ,"Offroader / SUV, 5 qapı",2025,Variator,Ön,Bəli,5,,"Vuruğu yoxdur, rənglənməyib",Çin,Bakı
Toyota,Prius,11500,AZN,2007,1.5 L,76,Hibrid,312 213 km,Ağ,Liftbek,2007,Variator,Ön,Xeyr,5,0,"Vuruğu yoxdur, rənglənməyib",Digər,Bakı
BMW,325,9000,AZN,2000,2.5 L,192,Benzin,400 000 km,Göy,Sedan,2000,Avtomat,Arxa,Xeyr,,,"Vuruğu yoxdur, rənglənməyib",,Bakı
MAN,TGA 18.440,43000,AZN,2013,13 L,440,Dizel,1 030 000 km,Yaşıl,Dartqı,2013,Avtomat,Tam,Xeyr,,,"Vuruğu yoxdur, rənglənməyib",Avropa,Bakı
Changan,CS 55 Plus,18500,USD,2025,1.5 L,313,Plug-in Hibrid,0 km,Yaş Asfalt,"Offroader / SUV, 5 qapı",2025,Variator,Ön,Bəli,5,,"Vuruğu yoxdur, rənglənməyib",Çin,Bakı
Land,Rover Range Rover,99999,USD,2020,5.0 L,550,Benzin,69 800 km,Qara,"Offroader / SUV, 5 qapı",2020,Avtomat,Tam,Xeyr,5,1,"Vuruğu yoxdur, rənglənməyib",Rəsmi diler,Bakı
Opel,Astra,8600,AZN,1999,1.6 L,101,Benzin,341 183 km,Qırmızı,Sedan,1999,Avtomat,Ön,Xeyr,,,"Vuruğu yoxdur, rənglənməyib",,Sumqayıt
Hyundai,Sonata,6600,AZN,2004,2.0 L,131,Benzin,186 241 km,Gümüşü,Sedan,2004,Avtomat,Ön,Xeyr,5,0,"Vuruğu yoxdur, rənglənib",Rəsmi diler,Bakı
Changan,Uni-Z,21100,USD,2025,1.5 L,215,Plug-in Hibrid,0 km,Yaş Asfalt,"Offroader / SUV, 5 qapı",2025,Variator,Tam,Bəli,,0,"Vuruğu yoxdur, rənglənməyib",,Bakı
Lexus,LX 570,25500,USD,2010,5.7 L,383,Benzin,260 000 km,Qara,"Offroader / SUV, 5 qapı",2010,Avtomat,Tam,Xeyr,7,0,"Vuruğu yoxdur, rənglənməyib",,Bakı
Toyota,Land Cruiser Prado,32500,AZN,2008,4.0 L,249,Benzin,285 000 km,Ağ,"Offroader / SUV, 5 qapı",2008,Avtomat,Tam,Xeyr,7,,"Vuruğu yoxdur, rənglənməyib",Dubay,Sumqayıt
Voyah,Free,38000,USD,2025,1.5 L,490,Plug-in Hibrid,0 km,Qara,"Offroader / SUV, 5 qapı",2025,Reduktor,Tam,Bəli,5,,"Vuruğu yoxdur, rənglənməyib",Avropa,Bakı
LADA,(VAZ) 2107,3300,AZN,1998,1.6 L,75,Benzin,58 005 km,Ağ,Sedan,1998,Mexaniki,Arxa,Xeyr,,,"Vuruğu yoxdur, rənglənməyib",Rusiya,Bakı
